2021-07-27T09:28:38+03:00
Running ./google-benchmark
Run on (8 X 1600 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 1.21, 1.51, 0.79
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_epoll/264000/10/25/iterations:1",1,7.31924e+10,5.64049e+10,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24439e+10,5.32635e+09,ns,,,,,
"benchmark_thread_per_socket/264000/100/iterations:1",1,7.30304e+10,5.05618e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.29165e+10,5.17013e+09,ns,,,,,
"benchmark_thread_per_socket/264000/100/iterations:1",1,7.20253e+10,5.23403e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.38e+10,5.53631e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24225e+10,5.17084e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24798e+10,5.39269e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25004e+10,5.57613e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.28216e+10,5.42368e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.40937e+10,5.65002e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.32498e+10,5.2904e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.30587e+10,5.44544e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.3012e+10,5.39274e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.30648e+10,5.42969e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.32541e+10,5.4222e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.32188e+10,5.41136e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.36612e+10,5.37594e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.39228e+10,5.41171e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.38869e+10,5.36027e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.37436e+10,5.3198e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.36825e+10,5.57913e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.36376e+10,5.60742e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.36325e+10,5.41906e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.37326e+10,5.45115e+09,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.36475e+10,5.97035e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.33982e+10,6.12316e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.33108e+10,6.02282e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.34141e+10,6.11488e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.33349e+10,5.56674e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.31883e+10,5.30056e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.32134e+10,5.63514e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.32508e+10,6.41731e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.31034e+10,5.67937e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.29845e+10,5.84634e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.32357e+10,5.55664e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.32964e+10,5.4701e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.31139e+10,6.04383e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.31986e+10,6.08185e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.30701e+10,5.06227e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.3207e+10,6.09771e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.60174e+10,5.59483e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.31062e+10,5.33625e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.32373e+10,6.17973e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.32887e+10,5.77349e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,7.32747e+10,5.27937e+08,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.36154e+10,5.38932e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.36234e+10,5.52963e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.29267e+10,5.22846e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.32939e+10,5.26463e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.39245e+10,5.23961e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.56655e+10,5.39488e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.61484e+10,5.19047e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.39111e+10,5.45132e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.44e+10,5.17473e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.63664e+10,5.16307e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.37595e+10,5.46347e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.3942e+10,5.17013e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.33977e+10,5.48674e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.4008e+10,5.16823e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.55605e+10,5.16903e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.42817e+10,5.13395e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.4438e+10,5.4361e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.5257e+10,5.41852e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.41522e+10,5.34851e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.4436e+10,5.20636e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,7.62763e+10,5.16746e+10,ns,,,,,
