2021-07-28T23:15:43+03:00
Running ./google-benchmark
Run on (4 X 1600 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 3.33, 9.49, 112.22
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_epoll/264000/10/25/iterations:1",1,8.68148e+10,3.20184e+10,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.74828e+10,3.40621e+09,ns,,,,,
"benchmark_thread_per_socket/264000/100/iterations:1",1,8.61596e+10,3.33925e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.68943e+10,3.50513e+09,ns,,,,,
"benchmark_thread_per_socket/264000/100/iterations:1",1,8.61505e+10,3.32247e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70477e+10,3.57609e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69336e+10,3.57552e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.71772e+10,3.50643e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69638e+10,3.37525e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.71954e+10,3.34205e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69469e+10,3.48997e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.71654e+10,3.49701e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.7113e+10,3.57035e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69814e+10,3.34193e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.71897e+10,3.51931e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70003e+10,3.54518e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.7033e+10,3.27074e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69778e+10,3.69137e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.7202e+10,3.52593e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69733e+10,3.33503e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70665e+10,3.57693e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70498e+10,3.40403e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.6991e+10,3.5223e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69941e+10,3.45758e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69902e+10,3.62068e+09,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.66155e+10,3.75545e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64431e+10,3.23805e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64656e+10,3.57675e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64832e+10,3.58872e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63913e+10,3.72424e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.72951e+10,3.62388e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64506e+10,4.11077e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63928e+10,3.6694e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.6418e+10,3.59364e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64373e+10,3.72111e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63881e+10,3.52373e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63967e+10,3.09916e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63843e+10,3.71484e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63923e+10,4.11331e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64381e+10,3.64314e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64076e+10,3.36192e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64144e+10,3.79046e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64061e+10,3.46677e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63939e+10,3.84688e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.64233e+10,3.70716e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63881e+10,3.70263e+08,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,8.63422e+10,3.38292e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,8.63572e+10,3.1256e+10,ns,,,,,
"benchmark_epoll/264000/10/25/iterations:1",1,8.62101e+10,3.18064e+10,ns,,,,,
