2021-07-29T05:49:28+03:00
Running ./google-benchmark
Run on (4 X 1600 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 3.31, 9.40, 112.71
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_epoll/264000/10/25/iterations:1",1,8.73469e+10,3.25398e+10,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70005e+10,3.60852e+09,ns,,,,,
"benchmark_thread_per_socket/264000/100/iterations:1",1,8.61752e+10,3.42842e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70427e+10,3.48275e+09,ns,,,,,
"benchmark_thread_per_socket/264000/100/iterations:1",1,8.61925e+10,3.51882e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.72054e+10,3.47372e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.71387e+10,3.62994e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.72578e+10,3.45756e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70274e+10,3.56286e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69777e+10,3.31688e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69782e+10,3.45593e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.71323e+10,3.36457e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69141e+10,3.49695e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.71089e+10,3.39595e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.71242e+10,3.47746e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.7096e+10,3.42103e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69465e+10,3.5416e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70202e+10,3.36089e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.72995e+10,3.35572e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.7054e+10,3.32477e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.70895e+10,3.26586e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69223e+10,3.43451e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69892e+10,3.44542e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.69569e+10,3.43786e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,8.6946e+10,3.5078e+09,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.66886e+10,3.40046e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.66626e+10,3.09296e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.93723e+10,3.59219e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63688e+10,3.96041e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.66396e+10,3.81599e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63212e+10,3.7511e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.63268e+10,3.44271e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.6381e+10,3.64254e+08,ns,,,,,
"benchmark_thread_per_socket/264000/1000/iterations:1",1,8.6296e+10,3.82082e+08,ns,,,,,
