2021-07-28T02:13:06+03:00
Running ./google-benchmark
Run on (4 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 3.37, 12.28, 140.40
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_epoll/264000/10/25/iterations:1",1,6.69874e+10,2.58715e+10,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.23908e+10,2.91274e+09,ns,,,,,
"benchmark_thread_per_socket/264000/100/iterations:1",1,7.19848e+10,2.93958e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24392e+10,2.85693e+09,ns,,,,,
"benchmark_thread_per_socket/264000/100/iterations:1",1,7.18772e+10,2.96901e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24701e+10,2.8339e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.2538e+10,2.91593e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.2505e+10,2.89321e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24842e+10,2.87225e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25564e+10,2.76236e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24813e+10,2.9399e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24919e+10,2.88282e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.27929e+10,2.95801e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24947e+10,2.76244e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.2511e+10,2.91829e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.246e+10,2.92575e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25482e+10,2.95071e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25188e+10,2.90853e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25378e+10,2.90562e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25438e+10,2.81188e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25005e+10,2.87046e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.24514e+10,2.94024e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25228e+10,2.9179e+09,ns,,,,,
"benchmark_process_per_socket/264000/100/iterations:1",1,7.25111e+10,2.77665e+09,ns,,,,,
