name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_epoll/264000/10/10/iterations:1",1,4.74802e+10,1.84114e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.76298e+10,1.75746e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.78065e+10,1.9443e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.79892e+10,1.82574e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.80733e+10,1.82637e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.75674e+10,1.80187e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.82047e+10,1.84484e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.81715e+10,1.86661e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.81124e+10,1.90388e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.79089e+10,1.87548e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.77062e+10,1.82466e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.78728e+10,1.93521e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.75085e+10,1.97887e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.78064e+10,1.91967e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.75765e+10,1.80878e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.84151e+10,1.87995e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.81405e+10,2.03377e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.78548e+10,1.88414e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.82358e+10,1.9979e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.7848e+10,1.92501e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.83803e+10,1.83491e+10,ns,,,,,
"benchmark_epoll/264000/10/10/iterations:1",1,4.77162e+10,1.94934e+10,ns,,,,,
